Nombre;Descripcion;Genero;Duracion;FechaLanz;
The Last of Us Part II;Un juego de acción y aventura en un mundo postapocalíptico donde los humanos deben sobrevivir a una pandemia de hongos que convierte a las personas en monstruos.;Aventura;De 20 a 30 horas.;19/06/2020;
Animal Crossing: New Horizons;Un juego de simulación social donde el jugador se muda a una isla desierta y puede crear su propia comunidad con animales antropomórficos.;Simulación;No tiene modo campaña.;20/03/2020;
Cyberpunk 2077;Un juego de rol y acción en un mundo abierto ambientado en una ciudad futurista donde el jugador puede personalizar su personaje y explorar diferentes facciones, misiones y opciones narrativas.;Acción;De 40 a 50 horas.;10/12/2020;
League of Legends; Juego centrado en la experiencia competitiva, en este tienes que seleccionar tu personaje entre un amplio catálogo con diferentes usos y habilidades cada uno y enfrentarte a otros jugadores en equipos de 5;Estrategia;No tiene modo campaña.;37/10/2009;
Dota 2;Es un juego multijugador de estrategia en tiempo real en el cual dos equipos de cinco jugadores tienen el objetivo de destruir las estructuras rivales controlando a personajes denominados héroes.;Estrategia;No tiene modo campaña.;09/07/2013;
Fortnite; Juego multijugador basado en la dinámica mundialmente conocida de BattleRoyale, su principal punto fuerte es la experiencia competitiva;Shooter;No tiene modo campaña.;26/09/2017;
The Witcher;Este videojuego te permite vivir tu propia aventura en el famoso mundo imaginario de The Witcher;Aventura;De 50 a 60 horas.;20/10/2007;
